"year","school","code","course","gender","intake"
"2022","SCHOOL OF HEALTH & SOCIAL SCIENCES","C97","DIPLOMA IN NURSING","FEMALE",620
"2022","SCHOOL OF BUSINESS MANAGEMENT","C94","DIPLOMA IN BUSINESS MANAGEMENT","FEMALE",148
"2022","SCHOOL OF BUSINESS MANAGEMENT","C34","COMMON BUSINESS PROGRAMME","FEMALE",136
"2022","SCHOOL OF ENGINEERING","C42","COMMON ENGINEERING PROGRAMME","FEMALE",115
"2022","SCHOOL OF DESIGN & MEDIA","C33","DIPLOMA IN ANIMATION & VISUAL EFFECTS","FEMALE",76
